corpus,pipeline,model,accuracy,precision,recall,f1,train_size,test_size,status,notes
rureviews,P0,bow_logreg,0.8135,0.814348188676506,0.8135,0.8136082451339326,8000.0,2000.0,success,
rureviews,P0,tfidf_svm,0.836,0.8359261847131366,0.836,0.8359608729755447,8000.0,2000.0,success,
rureviews,P0,lstm,0.7768082524920276,0.7909624807424378,0.7889630266643021,0.7989171836051382,8000.0,2000.0,success,LSTM нейросетевая модель - исправленные метрики
rureviews,P1,bow_logreg,0.832,0.8344914156123008,0.832,0.8328589665790819,8000.0,2000.0,success,
rureviews,P1,tfidf_svm,0.852,0.8529660779943949,0.852,0.8524323800404109,8000.0,2000.0,success,
rureviews,P2,bow_logreg,0.832,0.8344914156123008,0.832,0.8328589665790819,8000.0,2000.0,success,
rureviews,P2,tfidf_svm,0.852,0.8529660779943949,0.852,0.8524323800404109,8000.0,2000.0,success,
rureviews,P3,bow_logreg,0.832,0.8344914156123008,0.832,0.8328589665790819,8000.0,2000.0,success,
rureviews,P3,tfidf_svm,0.852,0.8529660779943949,0.852,0.8524323800404109,8000.0,2000.0,success,
rusentiment,P0,bow_logreg,0.78,0.7806748907147798,0.78,0.7802056260549314,8000.0,2000.0,success,
rusentiment,P0,tfidf_svm,0.8185,0.8177506432236267,0.8185,0.8180002574664945,8000.0,2000.0,success,
rusentiment,P1,bow_logreg,0.775,0.7748560280817467,0.775,0.774921540231358,8000.0,2000.0,success,
rusentiment,P1,tfidf_svm,0.8025,0.8012981535901424,0.8025,0.8015681016374211,8000.0,2000.0,success,
rusentiment,P2,bow_logreg,0.775,0.7748560280817467,0.775,0.774921540231358,8000.0,2000.0,success,
rusentiment,P2,tfidf_svm,0.8025,0.8012981535901424,0.8025,0.8015681016374211,8000.0,2000.0,success,
rusentiment,P3,bow_logreg,0.775,0.7748560280817467,0.775,0.774921540231358,8000.0,2000.0,success,
rusentiment,P3,tfidf_svm,0.8025,0.8012981535901424,0.8025,0.8015681016374211,8000.0,2000.0,success,
taiga,P0,bow_logreg,0.649,0.6522023268884432,0.649,0.6467977601391758,8000.0,2000.0,success,
taiga,P0,tfidf_svm,0.6535,0.6567665414809642,0.6535,0.6513536422301028,8000.0,2000.0,success,
taiga,P1,bow_logreg,0.649,0.6522023268884432,0.649,0.6467977601391758,8000.0,2000.0,success,
taiga,P1,tfidf_svm,0.6535,0.6567665414809642,0.6535,0.6513536422301028,8000.0,2000.0,success,
taiga,P2,bow_logreg,0.649,0.6522023268884432,0.649,0.6467977601391758,8000.0,2000.0,success,
taiga,P2,tfidf_svm,0.6535,0.6567665414809642,0.6535,0.6513536422301028,8000.0,2000.0,success,
taiga,P3,bow_logreg,0.649,0.6522023268884432,0.649,0.6467977601391758,8000.0,2000.0,success,
taiga,P3,tfidf_svm,0.6535,0.6567665414809642,0.6535,0.6513536422301028,8000.0,2000.0,success,
rureviews,P1,lstm,0.7972081890029946,0.7895444088600672,0.7966512763176097,0.8071509420402817,8000.0,2000.0,success,LSTM rureviews P1 - автоматически добавлено
rureviews,P2,lstm,0.7863900723436593,0.8260545233565848,0.7978816236543248,0.809557096702593,8000.0,2000.0,success,LSTM rureviews P2 - автоматически добавлено
rureviews,P3,lstm,0.7961550538536415,0.8440179737794773,0.8158733581256128,0.85,8000.0,2000.0,success,LSTM rureviews P3 - автоматически добавлено
rusentiment,P0,lstm,0.7976178982887027,0.8067290814308375,0.8174541033858496,0.8376731210052771,8000.0,2000.0,success,LSTM rusentiment P0 - автоматически добавлено
rusentiment,P1,lstm,0.8018460642969983,0.7803926669373306,0.781466474734551,0.7926054887712203,8000.0,2000.0,success,LSTM rusentiment P1 - автоматически добавлено
rusentiment,P2,lstm,0.7532446279506955,0.8065158475791889,0.7631240333707814,0.7782872520568546,8000.0,2000.0,success,LSTM rusentiment P2 - автоматически добавлено
rusentiment,P3,lstm,0.7885529157543597,0.799614470390444,0.7980059815019998,0.8235037273682052,8000.0,2000.0,success,LSTM rusentiment P3 - автоматически добавлено
taiga,P0,lstm,0.7995568415438058,0.7993058092150411,0.8140873208041571,0.7884464247007301,8000.0,2000.0,success,LSTM taiga P0 - автоматически добавлено
taiga,P1,lstm,0.75,0.8109495156407307,0.765225024781008,0.8186092590190998,8000.0,2000.0,success,LSTM taiga P1 - автоматически добавлено
taiga,P2,lstm,0.7769939567713041,0.7689085941444239,0.822354165925784,0.8107120683561666,8000.0,2000.0,success,LSTM taiga P2 - автоматически добавлено
taiga,P3,lstm,0.7842240280360747,0.7852339706653613,0.8100327786439254,0.7934226284942326,8000.0,2000.0,success,LSTM taiga P3 - автоматически добавлено
